Region,age_group_name,sex_name,Nutrient,region_mean
North Africa,75 to 79,Female,PUFA,3.089774155071308
North Africa,75 to 79,Female,Sodium,1.8101745473749653
North Africa,75 to 79,Female,Sugar,25.184506222206718
North Africa,75 to 79,Male,PUFA,3.2493427290018713
North Africa,75 to 79,Male,Sodium,2.347133871126207
North Africa,75 to 79,Male,Sugar,20.274419620899558
North Africa,80 to 84,Female,PUFA,3.0319226773731596
North Africa,80 to 84,Female,Sodium,1.5951739824225732
North Africa,80 to 84,Female,Sugar,22.30842577164456
North Africa,80 to 84,Male,PUFA,3.176798118139026
North Africa,80 to 84,Male,Sodium,2.0824091723949816
North Africa,80 to 84,Male,Sugar,18.246284810159942
North Africa,85 to 89,Female,PUFA,2.86669798562344
North Africa,85 to 89,Female,Sodium,1.5090429121173345
North Africa,85 to 89,Female,Sugar,23.390637374140656
North Africa,85 to 89,Male,PUFA,3.020523850823784
North Africa,85 to 89,Male,Sodium,1.9728232086402122
North Africa,85 to 89,Male,Sugar,19.146897862409574
North Africa,90 to 94,Female,PUFA,2.88085737885176
North Africa,90 to 94,Female,Sodium,1.5083396538261586
North Africa,90 to 94,Female,Sugar,23.644025600319786
North Africa,90 to 94,Male,PUFA,3.0112402844057242
North Africa,90 to 94,Male,Sodium,1.9746723804154016
North Africa,90 to 94,Male,Sugar,19.01324037829497
North Africa,95 plus,Female,PUFA,2.8705067013516143
North Africa,95 plus,Female,Sodium,1.5089801386640194
North Africa,95 plus,Female,Sugar,23.649885710159985
North Africa,95 plus,Male,PUFA,3.015142506437344
North Africa,95 plus,Male,Sodium,1.9713180325380795
North Africa,95 plus,Male,Sugar,19.245933160173067
Southern Africa,25 to 29,Female,PUFA,1.9313195814878488
Southern Africa,25 to 29,Female,Sodium,2.9470505505608036
Southern Africa,25 to 29,Female,Sugar,83.50355466523565
Southern Africa,25 to 29,Male,PUFA,2.0256152399422676
Southern Africa,25 to 29,Male,Sodium,3.239755665839621
Southern Africa,25 to 29,Male,Sugar,67.11682141072662
Southern Africa,30 to 34,Female,PUFA,1.944235203409592
Southern Africa,30 to 34,Female,Sodium,2.876902883275008
Southern Africa,30 to 34,Female,Sugar,69.22355107025798
Southern Africa,30 to 34,Male,PUFA,2.045316442657493
Southern Africa,30 to 34,Male,Sodium,2.8485593682831967
Southern Africa,30 to 34,Male,Sugar,55.68170188659756
Southern Africa,35 to 39,Female,PUFA,1.9784605805257713
Southern Africa,35 to 39,Female,Sodium,3.0940154327925824
Southern Africa,35 to 39,Female,Sugar,56.68566630670269
Southern Africa,35 to 39,Male,PUFA,2.0750509003227062
Southern Africa,35 to 39,Male,Sodium,3.1178289596939472
Southern Africa,35 to 39,Male,Sugar,45.762422773005476
Southern Africa,40 to 44,Female,PUFA,2.0019767755609528
Southern Africa,40 to 44,Female,Sodium,3.3104764323439504
Southern Africa,40 to 44,Female,Sugar,46.70154161792936
Southern Africa,40 to 44,Male,PUFA,2.099007334090931
Southern Africa,40 to 44,Male,Sodium,3.238319037410468
Southern Africa,40 to 44,Male,Sugar,37.59216239976181
Southern Africa,45 to 49,Female,PUFA,2.0294985017897536
Southern Africa,45 to 49,Female,Sodium,3.0185935769545815
Southern Africa,45 to 49,Female,Sugar,41.39835609813139
Southern Africa,45 to 49,Male,PUFA,2.1284024443968748
Southern Africa,45 to 49,Male,Sodium,3.074427937198068
Southern Africa,45 to 49,Male,Sugar,33.520952417770324
Southern Africa,50 to 54,Female,PUFA,2.0565941575415576
Southern Africa,50 to 54,Female,Sodium,2.707299533494084
Southern Africa,50 to 54,Female,Sugar,36.327814078335194
Southern Africa,50 to 54,Male,PUFA,2.1590119297135004
Southern Africa,50 to 54,Male,Sodium,2.8731159114487026
Southern Africa,50 to 54,Male,Sugar,29.34742799201295
Southern Africa,55 to 59,Female,PUFA,2.077881374609886
Southern Africa,55 to 59,Female,Sodium,2.5128765050374686
Southern Africa,55 to 59,Female,Sugar,32.359439288447945
Southern Africa,55 to 59,Male,PUFA,2.1726954664633236
Southern Africa,55 to 59,Male,Sodium,2.539952864833861
Southern Africa,55 to 59,Male,Sugar,26.045801942377707
Southern Africa,60 to 64,Female,PUFA,2.0786931727807856
Southern Africa,60 to 64,Female,Sodium,2.525407936303435
Southern Africa,60 to 64,Female,Sugar,28.896131564567288
Southern Africa,60 to 64,Male,PUFA,2.185873657986556
Southern Africa,60 to 64,Male,Sodium,2.5328906885627505
Southern Africa,60 to 64,Male,Sugar,23.463064957524413
Southern Africa,65 to 69,Female,PUFA,2.0698256881640913
Southern Africa,65 to 69,Female,Sodium,2.452222210850674
Southern Africa,65 to 69,Female,Sugar,26.83290548583635
Southern Africa,65 to 69,Male,PUFA,2.175711205019339
Southern Africa,65 to 69,Male,Sodium,2.366122658496294
Southern Africa,65 to 69,Male,Sugar,21.48545538103793
Southern Africa,70 to 74,Female,PUFA,2.057242502058836
Southern Africa,70 to 74,Female,Sodium,2.3659354650365767
Southern Africa,70 to 74,Female,Sugar,25.38707270566468
Southern Africa,70 to 74,Male,PUFA,2.1576127964100644
Southern Africa,70 to 74,Male,Sodium,2.217587118886973
Southern Africa,70 to 74,Male,Sugar,20.861092639416245
Southern Africa,75 to 79,Female,PUFA,2.0375613341462073
Southern Africa,75 to 79,Female,Sodium,2.3721622164494294
Southern Africa,75 to 79,Female,Sugar,23.4085050536227
Southern Africa,75 to 79,Male,PUFA,2.143795155300458
